part number,part name,section name,section number,slide_ref,section_slide_number,slide name,part_slide number,date,abbreviation
1,A to B,Part 1 Title Slide,,,,Part 1 Title Slide,1,,.. Home
1,A to B,Trade Entry and Management,2.0,,,Trade Entry and Management,2,,Introduction
1,A to B,Trade Entry and Management,2.0,2.1,1.0,"Wait for Strong Signal Bar, Use Appropriate Protective Stop",3,5/21/18,
1,A to B,Trade Entry and Management,2.0,2.2,2.0,"Wait for Strong Signal Bar, Use Appropriate Protective Stop",4,5/21/18,
1,A to B,Trade Entry and Management,2.0,2.3,3.0,"Wait for Strong Signal Bar, Use Appropriate Protective Stop",5,5/21/18,
1,A to B,Trade Entry and Management,2.0,2.4,4.0,Never Risk More Than 3%: Even If in Profitable Trade,6,5/21/18,
1,A to B,Trade Entry and Management,2.0,2.5,5.0,"Wait for Strong Signal Bar, Use Appropriate Protective Stop",7,5/21/18,
1,A to B,Trade Entry and Management,2.0,2.6,6.0,"Wait for Strong Signal Bar, Use Appropriate Protective Stop",8,5/21/18,
1,A to B,Trade Entry and Management,3.0,,,Trade Entry and Management,9,,Introduction edited 22/7/27
1,A to B,Trade Entry and Management,3.0,3.1,1.0,Swing Trades and Scalps,10,22/7/27,
1,A to B,Trade Entry and Management,3.0,3.2,2.0,"3 Building Blocks for All Trading: Wedges, Doubles, and Breakout",11,22/7/27,
1,A to B,Trade Entry and Management,3.0,3.3,3.0,"Triple Bottoms: Variations, Rarely Perfect",12,22/7/28 | 22/4/21,
1,A to B,Trade Entry and Management,3.0,3.4,4.0,"Triple Tops: Variations, Rarely Perfect",13,22/4/21,
1,A to B,Always In Long,4.0,,,Always In Long,14,,AIL
1,A to B,Always In Long,4.0,4.1,1.0,Always In Long: Can Be Buy The Close or Buy Pullback,15,21/1/7,
1,A to B,Always In Long,4.0,4.2,2.0,Consecutive Bull Bars: One Is Big so Always In Long,16,20/12/4,
1,A to B,Always In Long,4.0,4.3,3.0,Consecutive Bull Bars: One Is Big so Always In Long,17,20/12/14,
1,A to B,Always In Long,4.0,4.4,4.0,Always In Long: From One Exceptionally Big Bull Bar,18,9/13/12,
1,A to B,Always In Long,4.0,4.5,5.0,Big Gap Down: Bar,19,3/7/18,
1,A to B,Always In Long,4.0,4.6,6.0,Always In Long: With Just One Huge Bull Bar,20,9/12/18,
1,A to B,Always In Long,4.0,4.7,7.0,Surprise Bar: Always In Long from 1 Big Surprise Bar,21,12/15/17,
1,A to B,Always In Long,4.0,4.8,8.0,Always In Long (AIL): Bulls Buy above Flags,22,1/24/17,
1,A to B,Always In Long,4.0,4.9,9.0,Parabolic Wedge Bottom: Then LL MTR and Always In Long,23,5/29/18,
1,A to B,Always In Long,4.0,4.1,10.0,"If Exit, but Still AIL: Buy Again above Bull Bar",24,2/3/17,
1,A to B,Always In Long,4.0,4.11,11.0,Gap Down: Became Always In Long While below EMA,25,11/20/14,
1,A to B,Always In Long,4.0,4.12,12.0,Always In Long: After 2 Big Bull Bars,26,6/6/18,
1,A to B,"Always In Long, 3 Bear Bars Were Bull Flag",5.0,,,"Always In Long, 3 Bear Bars Were Bull Flag",27,,AIL 3 BRB
1,A to B,"Always In Long, 3 Bear Bars Were Bull Flag",5.0,5.1,1.0,Always In Long: 3 Bear Bars Formed Bull Flag,28,8/2/18,
1,A to B,Always In Short,6.0,,,Always In Short,29,,AIS
1,A to B,Always In Short,6.0,6.1,1.0,Always In Short: Can Be Sell The Close or Sell Pullback,30,23/2/9,
1,A to B,Always In Short,6.0,6.2,2.0,Consecutive Bear Bars: One Is Big so Always In Short,31,20/11/25,
1,A to B,Always In Short,6.0,6.3,3.0,Consecutive Bear Bars: One Is Big so Always In Short,32,20/12/16,
1,A to B,Always In Short,6.0,6.4,4.0,"Always In Short: If Exit, S below Bear Bar Closing near Its L",33,4/24/18,
1,A to B,Always In Short,6.0,6.5,5.0,Always In Short: B Setups Are Low Probability,34,10/5/18,
1,A to B,Always In Short,6.0,6.6,6.0,"Always In Short: If Exit, S again below Bear Bar in PB",35,12/6/16,
1,A to B,Always In Short,6.0,6.7,7.0,Always In Short: After Bull Trap on Open,36,5/11/16,
1,A to B,Always In Short,6.0,6.8,8.0,Always In Short: From 1 Huge Bear Bar,37,9/14/18,
1,A to B,Always In Short,6.0,6.9,9.0,From 1 Big Bear Bar,38,8/15/14,
1,A to B,Always In Short,6.0,6.1,10.0,Always In Short: From 4 Small Bear Bars,39,7/17/14,
1,A to B,Always In Short,6.0,6.11,11.0,Always In Short: Still above EMA,40,7/31/17,
1,A to B,Always In Short,7.0,,,Always In Short,41,,AIS 3 BLB
1,A to B,Always In Short,7.0,7.1,1.0,Always In Short: 3 Bull Bars Were Bear Flag,42,8/1/18,
1,A to B,All Time High Buy Climax,8.0,,,All Time High Buy Climax,43,,ATH BX
1,A to B,All Time High Buy Climax,8.0,8.1,1.0,Parabolic Wedge at All-Time High: Fast 10% Correction,44,1/26/18,
1,A to B,All Time High Buy Climax,8.0,8.2,2.0,Parabolic Wedge at All-Time H (ATH): Then Endless PB,45,8/8/17,
1,A to B,All Time High Buy Climax,8.0,8.3,3.0,Bear BO below Bull Flag With Follow-Through: MM down,46,6/24/14,
1,A to B,All Time High Buy Climax,8.0,8.4,4.0,"All-Time H (ATH): Parabolic Wedge Top, Then Endless PB",47,6/9/17,
1,A to B,All Time High Buy Climax,8.0,8.5,5.0,"All-Time High (ATH): PW Top, Then Endless PB",48,2/28/14,
1,A to B,All Time High Buy Climax,8.0,8.6,6.0,ATH: Failed Parabolic Wedge Top,49,1/3/18,
1,A to B,All Time High Buy Climax,8.0,8.7,7.0,"Small PB Bull Trend: Many Dojis, but Gaps",50,9/11/17,
1,A to B,Bankruptcy,9.0,,,Bankruptcy,51,,Bankruptcy
1,A to B,Bankruptcy,9.0,9.1,1.0,"Bankruptcy Risk: Great Trader’s Equation, but Don’t Buy",52,22/12/7 | 4/28/17 | 8/10/21 | 8/16/22 | 8/16/22,
1,A to B,Bankruptcy,9.0,9.2,2.0,"Bankruptcy Risk: Great Trader’s Equation, Consider Buying",53,22/12/7 | 1/22/16,
1,A to B,Bar Counting,10.0,,,Bar Counting,54,,Bar Counting
